21:09:12.267111 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 913857:917505, ack 1, win 83, options [nop,nop,TS val 4187284533 ecr 273766432], length 3648
21:09:13.265977 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 917505:924745, ack 1, win 83, options [nop,nop,TS val 4187285532 ecr 273766433], length 7240
21:09:13.266166 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 924745:931985, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273766433], length 7240
21:09:13.266339 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 931985:942121, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767431], length 10136
21:09:13.266484 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 942121:956601, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 14480
21:09:13.266575 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 956601:960945, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 4344
21:09:13.266713 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 960945:988457, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 27512
21:09:13.266807 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 988457:997145, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 8688
21:09:13.266881 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 997145:1015969, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 18824
21:09:13.267030 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1015969:1044929, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 28960
21:09:13.267180 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1044929:1048577, ack 1, win 83, options [nop,nop,TS val 4187285533 ecr 273767432], length 3648
21:09:14.265965 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1048577:1055817, ack 1, win 83, options [nop,nop,TS val 4187286532 ecr 273767433], length 7240
21:09:14.266151 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1055817:1063057, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273767433], length 7240
21:09:14.266321 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1063057:1073193, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768431], length 10136
21:09:14.266481 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1073193:1087673, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 14480
21:09:14.266571 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1087673:1092017, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 4344
21:09:14.266711 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1092017:1119529, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 27512
21:09:14.266803 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1119529:1128217, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 8688
21:09:14.266877 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1128217:1147041, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 18824
21:09:14.267025 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1147041:1177449, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 30408
21:09:14.267117 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1177449:1179649, ack 1, win 83, options [nop,nop,TS val 4187286533 ecr 273768432], length 2200
21:09:15.265974 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1179649:1186889, ack 1, win 83, options [nop,nop,TS val 4187287532 ecr 273768433], length 7240
21:09:15.266146 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1186889:1194129, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273768433], length 7240
21:09:15.266309 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1194129:1204265, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769431], length 10136
21:09:15.266444 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1204265:1218745, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 14480
21:09:15.266530 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1218745:1223089, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 4344
21:09:15.266660 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1223089:1250601, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 27512
21:09:15.266747 IP 10.0.0.1.41644 > 10.0.0.3.5001: Flags [P.], seq 1250601:1259289, ack 1, win 83, options [nop,nop,TS val 4187287533 ecr 273769432], length 8688
